ref_area,indicator,source,sex,time,obs_value,note_indicator,note_source
MDA,LAI_INSP_SEX_NB,FF:577,SEX_F,2013,13,,S3:24_S4:34
MDA,LAI_INSP_SEX_NB,FF:577,SEX_T,2014,87,,S3:24_S4:34
MDA,LAI_INSP_SEX_NB,FF:577,SEX_M,2014,75,,S3:24_S4:34
MDA,LAI_INSP_SEX_NB,FF:577,SEX_F,2014,12,,S3:24_S4:34
MDA,LAI_INSP_SEX_NB,FF:577,SEX_T,2015,83,,S4:34
MDA,LAI_INSP_SEX_NB,FF:577,SEX_M,2015,72,,S4:34
MDA,LAI_INSP_SEX_NB,FF:577,SEX_F,2015,11,,S4:34
MDA,LAI_INSP_SEX_NB,FF:577,SEX_T,2016,77,,S4:34
MDA,LAI_INSP_SEX_NB,FF:577,SEX_M,2016,66,,S4:34
MDA,LAI_INSP_SEX_NB,FF:577,SEX_F,2016,11,,S4:34
MDA,LAI_INSP_SEX_NB,FF:577,SEX_T,2017,73,,S4:34
MDA,LAI_INSP_SEX_NB,FF:577,SEX_M,2017,59,,S4:34
MDA,LAI_INSP_SEX_NB,FF:577,SEX_F,2017,14,,S4:34
MDA,LAI_INSP_SEX_NB,FF:577,SEX_T,2018,61,,S4:34
MDA,LAI_INSP_SEX_NB,FF:577,SEX_M,2018,46,,S4:34
MDA,LAI_INSP_SEX_NB,FF:577,SEX_F,2018,15,,S4:34
MDA,LAI_INSP_SEX_NB,FF:577,SEX_T,2019,42,,S4:34
MDA,LAI_INSP_SEX_NB,FF:577,SEX_M,2019,32,,S4:34
MDA,LAI_INSP_SEX_NB,FF:577,SEX_F,2019,10,,S4:34
MEX,LAI_INSP_SEX_NB,FX:466,SEX_T,2009,294,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_M,2009,233,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_F,2009,61,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_T,2010,340,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_M,2010,269,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_F,2010,71,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_T,2011,354,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_M,2011,270,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_F,2011,84,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_T,2012,553,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_M,2012,387,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_F,2012,166,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_T,2013,845,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_M,2013,578,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_F,2013,267,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_T,2014,830,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_M,2014,563,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_F,2014,267,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_T,2015,800,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_M,2015,546,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_F,2015,254,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_T,2016,764,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_M,2016,522,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_F,2016,242,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_T,2017,745,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_M,2017,507,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_F,2017,238,,S3:24_S7:1487
